,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
60,,"Raffy Rizkiansyah","2021-01-04 08:22:25",0,no,no,"Pendapat mimin ttg harden vol 5 gmna min ?",UCSiDcNXzsI18lrBD9bkfKDQ,UgwFyfHnYkm_-ZtQZL14AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgwFyfHnYkm_-ZtQZL14AaABAg
61,,"Muhammad Hakim","2021-01-04 09:27:39",0,no,no,Mahall:(,UCfz5o_pEKi_tA4deg1ULWRQ,UgxDjcBtLAP52uWQfYx4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgxDjcBtLAP52uWQfYx4AaABAg
62,,"Dhimas Rian","2021-01-04 10:15:23",0,no,no,"Ada sepatu basket di bawah 500rb enggak selain kw pls",UCgloo9al0zZxaXqaOFZ18Hg,Ugyl6Zy8XHodTqko9fB4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugyl6Zy8XHodTqko9fB4AaABAg
63,,"Dre Goop","2021-01-04 16:04:03",0,no,no,"Liat harga nya bikin nangis",UC3W4i6TmApnnbpitI-gG-Pg,UgxhRF81lhV6dcIJ4FJ4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgxhRF81lhV6dcIJ4FJ4AaABAg
64,,"Ardika Tara Priatama","2021-01-04 16:26:34",0,no,no,"drose 11 bang",UC0SnUaUTMtVWwJ49gSRHBzQ,Ugz5XOnQ08Bs639Ehu94AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugz5XOnQ08Bs639Ehu94AaABAg
65,,AlfirstOoo,"2021-01-05 01:10:21",1,no,no,"Gila kece curry 8 penilaiannya tinggi2 cuyy",UC1H0MdmkUiUP4JA9YMgri0g,Ugw6wiQLCHEUtg7T3MB4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugw6wiQLCHEUtg7T3MB4AaABAg
66,,"Sam Sirah","2021-01-05 03:44:31",1,no,no,"coba drose 773 2020",UCIyypN4nCL0CSdYODiI0Xug,UgyKddzRmnqfRov9VFB4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgyKddzRmnqfRov9VFB4AaABAg
67,,"Nelson Wong","2021-01-05 10:59:41",0,no,no,"PG5 dong min",UCBIhn2RIxsciHEGSqSaMhTg,UgwxRBUfRwk0siguNex4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgwxRBUfRwk0siguNex4AaABAg
68,,"Alex Santosa","2021-01-06 03:09:15",0,no,no,"sepatu ini bikin curry bisa 62 pts dalam satu game dan jadi Career High nya doi.. muannteeeeepppp.....",UCTD1SEHOFXWYBFfUmSy25Iw,Ugxe-LEOtAanTHQc3Jl4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugxe-LEOtAanTHQc3Jl4AaABAg
69,,"Jessack Gaming","2021-01-07 13:12:39",1,no,no,"Sepatu XTEP Levitation 4 Jeremy Lin bang",UCVurywp3vnqEvs9awDPmJwQ,Ugzr01E4QyBScRdGWBJ4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugzr01E4QyBScRdGWBJ4AaABAg
70,,"Fadilah Akbar","2021-01-08 07:20:21",0,no,no,"Kak rekomen buat lapangan outdoor yg cukup awet ga mudah abis apa ya?",UCQKbosMOB5q9JJJ1UOngYhg,Ugwr-wQdZDXzeRCBJYR4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugwr-wQdZDXzeRCBJYR4AaABAg
71,,"Panji Pantry","2021-01-08 13:32:41",0,no,no,"D Rose 11 bang",UCe-yNeh5pxzZnFqDCo5YVwg,UgwbS5QCx9oIXcE1jCx4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgwbS5QCx9oIXcE1jCx4AaABAg
72,,"Musa ahnaf Al akbar","2021-01-08 16:53:18",0,no,no,"Drose 9",UCQbPe48xtLsVPmUMeS6J9xw,UgyIqPqWkGukXWbo96x4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgyIqPqWkGukXWbo96x4AaABAg
73,,Rita,"2021-01-09 17:05:12",0,no,no,"Akhirnya bang😅",UCT8_orobdqqv9veRA2fahcA,Ugwr9osdI5bVKBh9K9J4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugwr9osdI5bVKBh9K9J4AaABAg
74,,"Ian Surya","2021-01-14 13:05:18",0,no,no,"Don issue 1 buat bigman berat 100 mash oke ga ya gan?",UCXwECz_XIXQ-_Fcce6KV_YA,UgwbpuBKi2kqlihKXZ54AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgwbpuBKi2kqlihKXZ54AaABAg
75,,"Dana Pati","2021-01-15 11:47:26",0,no,no,"widih bisa ngalahin Jordan tuh",UC7dL-r4lrFj47Y3shfhGWTw,UgyzizNKLMf7cgHNj9l4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgyzizNKLMf7cgHNj9l4AaABAg
76,,"Indra Gunawan","2021-01-17 14:15:57",0,no,no,"3D Ultralite",UCMkg-tbekTPzVs_OCmz3UiA,UgwfMF-nSLaM26BpEj54AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgwfMF-nSLaM26BpEj54AaABAg
77,,Azhrinn,"2021-01-23 02:37:30",0,no,no,"Eh, itu alat pelindung ankle yang sering dipake bang Curry namanya apaan ya?",UC4iupaRPikvtmgW-Z9fBJcw,UgyXig0HtrOjw6kyU-N4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgyXig0HtrOjw6kyU-N4AaABAg
78,,"Anggi Johanes Anderson Gultom","2021-01-23 09:54:08",0,no,no,"sepatunya mas mas biasa kalo kata bronsexual wkwkwk",UC77EfK8EUJkfqRtWvbS0myQ,UgzIT1jSYgsWdd2ce7J4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgzIT1jSYgsWdd2ce7J4AaABAg
79,,"Tobias Sianturi","2021-01-24 11:04:16",0,no,no,"penasaran sepatu yang 10/10 apa ya",UCuO9K0rzjID3YS18KqK-bhQ,UgxCiQWRrgNMTPDJU4R4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgxCiQWRrgNMTPDJU4R4AaABAg
80,,"Arief Abdullah","2021-02-18 14:07:45",0,no,no,"Sepatu terbaik ni mah,,apalagi buat pebasket veteran yg udah agak2 berat buat lompat,,pake sepatu ini lsg auto ringan 🤣🤣👍👍",UC33jWO3mJwK5hOYkk8prT3Q,UgwDjhRvg5DN7iygXjd4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgwDjhRvg5DN7iygXjd4AaABAg
81,,Zaaq,"2021-03-14 13:49:07",0,no,no,"Editor naik gaji!",UCgTbbDQjv8S-ooULGrV1Arw,UgwXDeqUwxMfGtDtVax4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgwXDeqUwxMfGtDtVax4AaABAg
82,,"dika risky","2021-03-15 15:16:27",0,no,no,"review nike renew elevate donk",UCSTCxRAdDA0yuyzVoayp0DQ,UgymmpVZo8TnP8PUE0N4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgymmpVZo8TnP8PUE0N4AaABAg
83,,"gaya lu","2021-04-07 09:15:07",0,no,no,"Kalo main outdoor tahan lama gak bang",UCA1tJWIHwLHOkTSY6HE6HFQ,Ugz9J765Xadle9D-RPB4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugz9J765Xadle9D-RPB4AaABAg
84,,"Aldy Fradana","2021-04-17 05:03:43",0,no,no,"Cara ngerawat outsole gmn ni min?",UCLSOO31_RT2hu5jC_bvCxqA,Ugy70gD7_7fMQbvOxUN4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugy70gD7_7fMQbvOxUN4AaABAg
